Name,Original Entry Timestamp,Verified Timestamp,Description,Services,Phone Numbers,State,City,Location
SANTOSH MEDICAL STORES,23.04.2021 16:17:44,,not revealing stock but ready to help if you approach after sdm permits or if he knows hospital's name in which patient is admitted ; Medicine name: Remdesivir,Medicine,['+919730037702'],Maharashtra,Mumbai_Ghatkopar West,"SHOP NO 1,2,4 & 5UDGIRNEW NAGARPALIKA COMPLEX NANDED
 RD,UDGIR,413512 ; 413512"
Dr Sampreeth singh,23/04/2021 12:31 PM,,,Telehealth,['+919620636356'],Maharashtra,Mumbai,
Dr Apoorva s s,23/04/2021 12:30 PM,,,Telehealth,['+919686743231'],Maharashtra,Mumbai,
NA,23/04/2021 12:40:45 PM,,Medicine name: Tocilizumab,Medicine,[],Maharashtra,Mumbai,https://t.co/gKgfmi1SoZ?amp=1
Veer Foundation, ,,available,Oxygen,['+919321580108'],Nagaland,Dimapur,Simandhar Swami Jinalaya
Jubiliant,23/04 5:49:10 PM,,busy ; Medicine name: Remdesivir,Medicine,['+919819857718'],Punjab,Jalandhar,Vikas.bansi@jubl.com
MOHAMMED SALMAN GOURI,,2021-04-28 11:21:20.780,,Other,,Rajasthan,,
Kaka's Kitchen,,2021-04-27 13:42:40.376,Providing free food in all over Jaipur,Food,['+918890623133'],Rajasthan,,
Re clinics,23 April 14:49,,taking online appointment,Telehealth,['+9118003132911'],Rajasthan,Jaipur,taking online appointment
Dr Faiza Khan,23 April 17:44,,Available 24*7 days.and free of cost for covid cases,Telehealth,['+918291620985'],Rajasthan,Bharatpur,
Dr. Anand Bakre,23 April 17:14,,available from 4:30 PM to 9:00 PM. He is taking charges rs 500 per patient,Telehealth,['+918329783992'],Rajasthan,Jaipur,
Dr.Sumit Khupse,23 April 17:17,,available after 4 pm.through what's app,Telehealth,['+919130338154'],Rajasthan,Jaipur,
Dr.Pooja Dnyaneshwar Moje,23 April 17:49,,available from 11AM to 2 PM.she charge rs3000  per day,Telehealth,['+919322548635'],Rajasthan,Jaipur,
Dr. Prasad Kadasne,23 April 17:11,,he is dealing through whatsapp available all time,Telehealth,['+919503414869'],Rajasthan,Jaipur,
Dr. Nikita Rajkondawar,23 April 17:47,,available through phone calls from 4 to 9 PM.she charge rs 500 per patient,Telehealth,['+919552555677'],Rajasthan,Fatehpur,
"GRS Life Care, Madurai",23 April 4:58:02 PM,,they can arrange in 5-6 days ; Medicine name: Remdesivir,Medicine,['+919367526015'],Telangana,Hyderabad,"1st Floor, 159 G,Thalai Veethi 2 Cross Street,Aavin Nagar, Madurai,,Madurai,625020 ; 625020"
Keshav Mishra,,2021-04-26 16:58:57.087,,Hospital Beds,,West Bengal,,
Prabal Chaudhury,,2021-05-01 10:15:17.295,Refilling in Baghajatin area They'll test whether your cylinder works and is legally approved. Rate as per quantity. Kolkata south,Oxygen,['+919830083350'],West Bengal,,
Ausadhi Clinic,23-Apr-2021 2:55 PM,,Medicine name: Fabiflu,Medicine,['+916396856500'],West Bengal,"Kolkata,",NA
